cen_tract,id,longitude,latitude,prem,t_ded,tcov,value
22101041000,711843,-91.6,29.9,839,5,120,150
22101041100,421197,-91.6,29.8,1721,2,145,161
22101041100,422369,-91.7,29.8,427,1,36.9,79
22101041100,423081,-91.6,29.8,1332,2,122,190.6
22101041100,426757,-91.6,29.8,484,1.25,120,120
22101041400,195722,-91.5,29.8,494,1.25,130,130
22101041400,423157,-91.5,29.8,497,1.25,133,133
22101041400,424798,-91.5,29.8,310,1.25,200,200
22101041400,426736,-91.5,29.8,770,5,75,112
22101041400,429203,-91.5,29.8,1053,5,144.7,144.7
22101041400,432282,-91.5,29.8,1572,5,150,260
22101041400,495928,-91.5,29.8,498,5,60,150
22101041400,499975,-91.5,29.8,451,1.5,43,104
22101041400,578805,-91.5,29.8,1383,5,195,200
22101041400,579000,-91.5,29.8,1337,5,188,250
22101041400,579740,-91.5,29.8,641,1.5,65,65
22101041400,579885,-91.5,29.8,1399,2,165,170
22101041400,580064,-91.5,29.8,1020,1.5,90,95
22101041400,580259,-91.5,29.8,405,5,144,144
22101041400,710671,-91.5,29.8,342,1,100,100
22101041400,1235988,-91.5,29.8,1672,2,200,190
22103040102,75971,-90,30.5,1193,1.5,100,100
22103040102,76355,-90,30.5,424,1.25,150,150
22103040102,76989,-89.7,30.4,630,5,97,133
22103040102,105673,-90,30.5,244,1.25,86.8,69
22103040102,110773,-90,30.5,416,1.25,250,161.5
22103040102,198258,-90,30.5,894,5,195,195
22103040102,201315,-90,30.5,535,1.25,250,250
22103040102,422566,-90,30.5,371,1.25,250,250
22103040102,428736,-90,30.5,207,5,125,128
22103040102,432603,-90,30.5,396,1.25,250,250
22103040102,433024,-90,30.5,351,1.25,250,250
22103040102,433590,-90,30.5,1008,5,125,125
22103040102,579271,-90,30.5,320,1.25,145,130
22103040102,711259,-90,30.5,504,1.25,250,350
22103040102,713731,-90,30.5,475,1.25,250,250
22103040102,715369,-90,30.5,286,1.25,237,237
22103040102,716201,-90,30.5,504,1.25,250,268
22103040102,866502,-90,30.5,451,1.25,250,250
22103040102,968167,-90,30.5,454,2,200,200
22103040102,985006,-90,30.5,3173,5,150,233.7
22103040102,1025110,-90,30.5,464,2,213,209
22103040102,1048694,-90,30.5,249,2,112,112
22103040102,1049543,-89.9,30.5,982,2,250,250
22103040102,1229461,-89.8,30.5,397,1.25,162,162
22103040102,1232887,-90,30.5,273,5,250,283
22103040102,1233098,-90,30.5,1488,2,98.6,125
22103040103,433198,-90.1,30.6,476,2,250,300
22103040103,711947,-90.1,30.6,561,5,110,196
22103040103,867037,-90.1,30.6,346,1.5,198,198
22103040103,985017,-90.1,30.6,773,5,190,190
22103040103,1024665,-90.1,30.6,361,2,226,226
22103040103,1024775,-90.1,30.6,815,2,88,88
22103040103,1049055,-90.1,30.6,504,1.25,250,250
22103040104,157153,-90,30.6,288,2,176,176
22103040104,421869,-89.9,30.6,322,1.25,133,135
22103040104,424994,-90,30.6,351,1.25,250,330
22103040104,519793,-90,30.6,634,5,75,100
22103040104,774409,-89.9,30.6,227,3,100,100
22103040104,1229102,-90,30.6,446,1.25,200,300
22103040201,713825,-90.2,30.6,494,1.25,250,500
22103040201,716022,-90.2,30.6,353,3,250,350
22103040201,866470,-90.2,30.6,377,1.25,250,390.5
22103040201,1230153,-90.2,30.6,1205,1.25,150,150
22103040202,40717,-90.1,30.5,369,3,215,215
22103040202,76947,-90.1,30.5,471,1.25,250,252
22103040202,104358,-90.1,30.5,1238,1.25,250,105
22103040202,110366,-90.1,30.5,296,1.25,250,153
22103040202,195313,-90.1,30.5,654,2,165,165
22103040202,199120,-90.1,30.5,1038,5,250,308
22103040202,200101,-90.1,30.5,1034,1.25,250,250
22103040202,200436,-90.1,30.5,984,2,250,250
22103040202,201918,-90.1,30.5,475,1.25,250,257
22103040202,202031,-90.1,30.5,764,1.25,189,189
22103040202,419050,-90.1,30.5,1208,1.25,142,142
22103040202,427383,-90.1,30.5,504,1.25,250,275
22103040202,430525,-90.1,30.5,416,1.25,96.7,250
22103040202,431855,-90.1,30.5,2620,2,250,250
22103040202,432042,-90.1,30.5,278,5,250,663.7
22103040202,433295,-90.1,30.5,1034,1.25,250,307
22103040202,502125,-90.1,30.5,779,5,195,195
22103040202,519833,-90.1,30.5,491,1.25,230,230
22103040202,519882,-90.1,30.5,1162,2,116,119
22103040202,519943,-90.1,30.5,504,1.25,250,250
22103040202,578962,-90.1,30.5,582,1.25,220,250
22103040202,710619,-90.1,30.5,582,1.25,222,250
22103040202,710871,-90.1,30.5,4877,3,180,300
22103040202,714091,-90.1,30.5,1039,5,250,275
22103040202,714515,-90.1,30.5,680,2,175,175
22103040202,716337,-90.1,30.5,452,1.25,250,250
22103040202,866423,-90.1,30.5,312,1.25,135,135
22103040202,866621,-90.1,30.5,782,5,200.1,200.1
