cen_tract,longitude,latitude,prem,building,t_ded,med_income
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,274,3,1.25,77452
1003011405,-87.5,30.3,316,2,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,392,3,1.5,77452
1003011405,-87.5,30.3,384,3,1.25,77452
1003011405,-87.5,30.3,2902,2,4,77452
1003011405,-87.5,30.3,384,2,1.25,77452
1003011405,-87.5,30.3,387,1,1.25,77452
1003011405,-87.5,30.3,442,2,1.25,77452
1003011405,-87.5,30.3,311,3,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,384,2,1.25,77452
1003011405,-87.5,30.3,330,3,1.25,77452
1003011405,-87.5,30.3,332,2,1.25,77452
1003011405,-87.5,30.3,404,2,1.25,77452
1003011405,-87.5,30.3,518,2,2,77452
1003011405,-87.5,30.3,421,2,1.25,77452
1003011405,-87.5,30.3,379,1,1.25,77452
1003011405,-87.5,30.3,2845,2,2,77452
1003011405,-87.5,30.3,406,3,1.25,77452
1003011405,-87.5,30.3,497,3,1.25,77452
1003011405,-87.5,30.3,350,1,1.25,77452
1003011405,-87.5,30.3,358,2,2,77452
1003011405,-87.5,30.3,686,2,1.25,77452
1003011405,-87.5,30.3,330,1,2,77452
1003011405,-87.5,30.3,380,2,1.25,77452
1003011405,-87.5,30.3,174,1,1.25,77452
1003011405,-87.5,30.3,334,1,1.25,77452
1003011405,-87.5,30.3,330,1,2,77452
1003011405,-87.5,30.3,385,2,1.25,77452
1003011405,-87.5,30.3,418,3,1.25,77452
1003011405,-87.5,30.3,454,3,1.25,77452
1003011405,-87.5,30.3,362,2,1.25,77452
1003011405,-87.5,30.3,219,1,2,77452
1003011405,-87.5,30.3,371,1,1.25,77452
1003011405,-87.5,30.3,323,2,1.25,77452
1003011405,-87.5,30.3,445,2,1.25,77452
1003011405,-87.5,30.3,237,2,1.25,77452
1003011405,-87.5,30.3,234,2,1.25,77452
1003011405,-87.5,30.3,311,2,1.25,77452
1003011405,-87.5,30.3,292,3,5,77452
1003011405,-87.5,30.3,498,3,1.25,77452
1003011405,-87.5,30.3,549,2,1.25,77452
1003011405,-87.5,30.3,499,3,5,77452
1003011405,-87.5,30.3,339,3,2,77452
1003011405,-87.5,30.3,387,3,1.25,77452
1003011405,-87.5,30.3,382,1,2,77452
1003011405,-87.5,30.3,774,2,1.25,77452
1003011405,-87.5,30.3,342,3,1.25,77452
1003011405,-87.5,30.3,422,3,1.25,77452
1003011405,-87.5,30.3,414,3,2,77452
1003011405,-87.5,30.3,399,3,2,77452
1003011405,-87.5,30.3,225,2,2,77452
1003011405,-87.5,30.3,550,2,1.25,77452
1003011405,-87.5,30.3,550,2,1.25,77452
1003011405,-87.5,30.3,1791,2,1.5,77452
1003011405,-87.5,30.3,650,3,2,77452
1003011405,-87.5,30.3,385,3,1.25,77452
1003011405,-87.5,30.3,315,1,5,77452
1003011502,-87.7,30.4,485,2,1,38857
1003011601,-87.5,30.4,237,1,1.25,35853
1003011601,-87.6,30.4,380,1,1.25,35853
1003011601,-87.5,30.4,380,1,1.25,35853
1003011601,-87.6,30.4,221,2,1,35853
1003011601,-87.5,30.4,317,4,1.25,35853
1003011601,-87.6,30.4,3446,1,2,35853
1003011601,-87.6,30.4,379,1,1.25,35853
1003011601,-87.6,30.4,408,1,1.25,35853
1003011601,-87.6,30.4,380,1,1.25,35853
1003011601,-87.6,30.4,422,2,1.25,35853
1003011601,-87.6,30.4,315,2,2,35853
1003011601,-87.5,30.4,281,1,5,35853
1003011601,-87.5,30.4,375,2,1.5,35853
1003011601,-87.5,30.4,380,2,1.25,35853
1003011601,-87.5,30.4,226,1,1.25,35853
1009050101,-86.4,33.9,514,2,5,44503
1009050101,-86.4,33.9,257,2,5,44503
1009050200,-86.5,34,667,2,5,47963
1015000700,-85.8,33.7,529,2,5,25548
1015000700,-85.8,33.7,581,2,2,25548
1015000700,-85.8,33.7,424,2,1.5,25548
1015000700,-85.8,33.7,485,2,1.5,25548
1015000700,-85.8,33.7,526,1,2,25548
1015000700,-85.8,33.7,987,2,1.5,25548
1015000700,-85.8,33.7,628,3,1.5,25548
1015001100,-85.8,33.6,399,2,1.25,48224
1015001100,-85.8,33.6,895,3,2,48224
1015001100,-85.8,33.6,693,3,3,48224
1015001100,-85.8,33.6,1939,1,2,48224
1015001100,-85.8,33.6,512,3,2,48224
1015001100,-85.8,33.6,1233,2,5,48224
1015001100,-85.8,33.6,353,1,5,48224
1015002400,-85.8,33.8,699,2,2,50122
1015002400,-85.8,33.8,2349,2,5,50122
1015002400,-85.8,33.8,928,2,5,50122
1015002400,-85.8,33.8,941,2,5,50122
1015002400,-85.8,33.8,685,2,5,50122
1015002400,-85.8,33.8,281,2,5,50122
1015002400,-85.8,33.8,699,1,3,50122
1015002400,-85.8,33.8,320,2,5,50122
1015002400,-85.8,33.8,1144,2,5,50122
1015002400,-85.8,33.8,414,2,5,50122
1015002400,-85.8,33.8,533,2,5,50122
1015002400,-85.8,33.8,728,2,5,50122
1015002400,-85.8,33.8,480,2,5,50122
1015002501,-85.9,33.8,638,2,1.5,42656
1015002501,-85.9,33.8,687,2,5,42656
1015002501,-85.9,33.8,1826,4,2,42656
1015002501,-85.9,33.8,883,2,5,42656
1015002502,-85.9,33.9,269,2,1,43295
1017953900,-85.2,32.9,929,3,5,31743
1017953900,-85.2,32.9,905,3,5,31743
1017953900,-85.2,32.9,472,1,5,31743
1019955701,-85.6,34.2,204,2,5,38220
1019955701,-85.6,34.2,207,1,1.25,38220
1019955800,-85.7,34.2,2045,3,2,43125
1019955800,-85.7,34.2,407,2,2,43125
1019955800,-85.8,34.2,356,1,5,43125
1019955800,-85.7,34.3,518,2,2,43125
1019955900,-85.6,34.1,566,3,1.25,42658
1019955900,-85.7,34.1,826,2,5,42658
1021060200,-86.6,32.9,645,2,5,41042
1021060300,-86.5,32.9,3872,3,5,50813
1021060402,-86.8,33,840,2,5,36436
1023956900,-88.3,31.9,1088,1,5,38508
1025957601,-87.8,31.9,496,1,1.25,31250
1025957700,-88.1,31.8,1183,2,1.5,17452
1025957700,-88.1,31.8,767,1,5,17452
1025957800,-87.6,31.6,1854,1,2,21195
1031010500,-86.1,31.4,604,1,1.5,28710
1031011000,-85.9,31.3,823,2,5,38722
1031011000,-85.9,31.3,531,2,5,38722
1031011300,-85.8,31.3,426,1,1.5,19944
1033020500,-87.7,34.7,442,2,1.5,36811
1033020500,-87.7,34.7,1582,2,1.5,36811
1033020500,-87.7,34.7,580,1,2,36811
1033020500,-87.7,34.7,209,1,1,36811
1033021000,-88.1,34.8,1240,2,5,34188
1037961100,-86.3,33.1,972,3,5,39615
1037961100,-86.4,33.1,378,3,1.25,39615
1037961100,-86.3,32.9,416,3,1.25,39615
1037961100,-86.3,32.9,416,2,1.25,39615
1037961100,-86.5,33,418,2,1,39615
1037961100,-86.3,32.9,414,2,1.25,39615
1037961100,-86.3,33.1,492,2,5,39615
1037961100,-86.3,32.9,2753,3,5,39615
1039961600,-86.4,31.4,709,1,1.5,46250
1039961600,-86.5,31.4,1175,1,2,46250
1039961600,-86.5,31.4,524,1,1.25,46250
1039961600,-86.5,31.4,633,2,5,46250
1039961600,-86.4,31.5,950,2,5,46250
1039961600,-86.4,31.5,1291,2,5,46250
1039961600,-86.4,31.4,338,1,1.25,46250
1039961600,-86.5,31.4,366,1,1.25,46250
1039961800,-86.5,31.3,1036,2,1.25,26645
1039963000,-86.3,31,1610,1,4,30303
1043964100,-86.5,34.3,1689,1,2,39649
1043964500,-87.1,34.3,809,2,5,34327
1043965500,-87,34,845,2,5,38904
1043965600,-87.1,34,1157,2,2,30313
1043965600,-87,34.1,312,2,1.25,30313
1043965600,-87,34.1,1269,1,5,30313
1043965600,-87,34.1,350,1,1.25,30313
1043965600,-87.1,34,972,3,5,30313
1043965600,-87.1,34,595,3,1.25,30313
1047956201,-87.1,32.4,390,2,5,37560
1047956201,-87.1,32.4,1165,2,2,37560
1047956201,-87.1,32.4,449,1,2,37560
1047956500,-87,32.4,600,1,1.5,11629
1047956500,-87,32.4,1556,1,3,11629
1047956500,-87,32.4,1111,1,1.5,11629
1047956500,-87,32.4,250,1,5,11629
1047956500,-87,32.4,545,3,1,11629
1047956900,-87.1,32.3,296,2,1.25,17381
1047956900,-87.1,32.3,331,1,1.25,17381
1047956900,-87.1,32.3,296,2,1.25,17381
1047956900,-87.2,32.2,959,1,5,17381
1047956900,-87.1,32.3,706,2,1.25,17381
1047957000,-87.1,32.1,233,2,1.5,16750
1047957100,-87,32.3,448,2,1.25,25000
1051030100,-86.3,32.6,1217,2,1.25,56451
1051030100,-86.3,32.6,316,1,1.25,56451
1051030600,-86.2,32.6,339,2,1.25,44116
1051030600,-86.2,32.6,1588,1,2,44116
1051030702,-86.2,32.5,731,1,2,58107
1051030702,-86.3,32.5,295,1,1.25,58107
